Community Reputation,Business Activity Observations,Informal Credit Relationships,Asset Ownership,Utility and Bill Payment Patterns,Local Market Standing,Participation in Welfare or Support Programs,Family and Dependents,Seasonal and Environmental Impact,Behavioral Indicators,Business Location and Infrastructure,Customer and Supplier Relationships,Observed Consistency,Training and Skill Development,Debt and Liabilities,Savings and Insurance,Aadhaar Card,Ration Card,Voter ID Card
Average,416,Good Credit History,Livestock,No Records,Moderately Popular,Enrolled in SHG,7,Moderate Seasonal Variation,Indecisive,Low Traffic Area,39,Regularly Open,Completed Skill Training,17780.71,Both Savings and Insurance,Not Verified,Not Provided,Verified
Excellent,238,Good Credit History,Sewing Machine,On Time,New Business,Multiple Programs,7,High Seasonal Variation,High Risk-Taker,Remote Area,23,Irregular Operations,Completed Skill Training,19985.18,Insurance Policy,Not Verified,Antyodaya,Not Verified
Average,205,Unknown,Shop Equipment,Delayed Payments,Average,Enrolled in SHG,3,Moderate Seasonal Variation,Cautious,Home-Based,43,Regularly Open,Ongoing Training,9611.77,Insurance Policy,Not Verified,Antyodaya,Verified
Poor,102,Has Defaults,Livestock,No Records,Moderately Popular,Enrolled in MUDRA,8,Moderate Seasonal Variation,Indecisive,Home-Based,39,Regularly Open,Multiple Certifications,31929.41,Both Savings and Insurance,Not Verified,APL,Verified
Excellent,55,Unknown,Vehicle,No Records,Low Footfall,Enrolled in SHG,8,Minimal Seasonal Variation,Cautious,Remote Area,16,Irregular Operations,Completed Skill Training,39975.51,Chit Fund Savings,Not Verified,APL,Not Verified
Good,7,Good Credit History,None,Delayed Payments,Highly Popular,Enrolled in SHG,2,Weather Sensitive,High Risk-Taker,Low Traffic Area,1,Regularly Open,Completed Skill Training,31515.59,None,Verified,Antyodaya,Verified
Excellent,151,Unknown,Vehicle,Partially Paid,Low Footfall,None,7,High Seasonal Variation,Indecisive,Moderate Traffic,30,Irregular Operations,Multiple Certifications,39944.7,None,Verified,BPL,Not Verified
Unknown,254,Good Credit History,Livestock,Partially Paid,Highly Popular,None,9,Moderate Seasonal Variation,Indecisive,Low Traffic Area,6,Irregular Operations,No Formal Training,5315.79,Chit Fund Savings,Not Verified,Not Provided,Verified
Average,162,Good Credit History,Shop Equipment,Partially Paid,New Business,None,9,Minimal Seasonal Variation,Good Problem-Solver,Low Traffic Area,7,Irregular Operations,Ongoing Training,29625.51,Chit Fund Savings,Not Verified,APL,Verified
Excellent,126,Has Defaults,Sewing Machine,On Time,Average,Multiple Programs,5,Minimal Seasonal Variation,Indecisive,Prime Location,50,Regularly Open,Completed Skill Training,48017.16,Chit Fund Savings,Verified,APL,Verified
Good,282,Unknown,None,Partially Paid,Moderately Popular,Multiple Programs,9,Minimal Seasonal Variation,Indecisive,Low Traffic Area,18,Irregular Operations,Ongoing Training,44510.82,Both Savings and Insurance,Not Verified,APL,Not Verified
Good,356,Unknown,Vehicle,No Records,Low Footfall,Enrolled in MUDRA,7,Weather Sensitive,Good Problem-Solver,Moderate Traffic,18,Irregular Operations,Completed Skill Training,43585.01,Chit Fund Savings,Verified,APL,Not Verified
Excellent,259,Unknown,None,No Records,Average,Enrolled in MUDRA,9,Weather Sensitive,High Risk-Taker,Remote Area,6,Regularly Open,No Formal Training,37104.11,Chit Fund Savings,Verified,BPL,Not Verified
Good,214,Has Defaults,None,On Time,Low Footfall,Enrolled in SHG,8,Minimal Seasonal Variation,Cautious,Remote Area,50,Irregular Operations,No Formal Training,3936.2,Chit Fund Savings,Verified,APL,Verified
Good,465,Unknown,Multiple Assets,Partially Paid,New Business,Enrolled in MUDRA,5,Moderate Seasonal Variation,Good Problem-Solver,Home-Based,47,Regularly Open,Ongoing Training,19722.95,Chit Fund Savings,Verified,Antyodaya,Not Verified
Unknown,49,Good Credit History,Vehicle,Partially Paid,New Business,Multiple Programs,4,Moderate Seasonal Variation,Cautious,Prime Location,5,Irregular Operations,Ongoing Training,36133.04,None,Verified,Not Provided,Not Verified
Good,366,Has Defaults,Vehicle,Delayed Payments,Average,None,6,Minimal Seasonal Variation,Indecisive,Home-Based,1,Irregular Operations,No Formal Training,35490.42,Chit Fund Savings,Not Verified,Antyodaya,Not Verified
Excellent,339,Good Credit History,Vehicle,Partially Paid,Moderately Popular,None,1,High Seasonal Variation,Cautious,Prime Location,16,Irregular Operations,Completed Skill Training,41089.43,Both Savings and Insurance,Not Verified,BPL,Not Verified
Average,355,Good Credit History,Multiple Assets,Partially Paid,Moderately Popular,None,10,Weather Sensitive,Cautious,Low Traffic Area,11,Regularly Open,No Formal Training,9251.41,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified
Unknown,230,Good Credit History,Livestock,No Records,Average,Enrolled in SHG,3,Minimal Seasonal Variation,Indecisive,Prime Location,24,Irregular Operations,Multiple Certifications,41819.42,Chit Fund Savings,Not Verified,Not Provided,Verified
Average,111,Has Defaults,None,Delayed Payments,Low Footfall,Enrolled in MUDRA,9,Moderate Seasonal Variation,Indecisive,Moderate Traffic,12,Irregular Operations,No Formal Training,46909.48,Insurance Policy,Verified,BPL,Verified
Excellent,233,Has Defaults,Vehicle,Delayed Payments,New Business,Multiple Programs,10,Minimal Seasonal Variation,Good Problem-Solver,Moderate Traffic,26,Irregular Operations,Multiple Certifications,16864.0,Insurance Policy,Verified,Antyodaya,Not Verified
Poor,488,Unknown,Multiple Assets,Delayed Payments,Highly Popular,Multiple Programs,1,Moderate Seasonal Variation,Cautious,Prime Location,36,Irregular Operations,Completed Skill Training,18077.19,None,Not Verified,APL,Not Verified
Poor,373,Unknown,Shop Equipment,On Time,New Business,Enrolled in SHG,9,Weather Sensitive,Cautious,Home-Based,33,Regularly Open,Multiple Certifications,25836.65,Insurance Policy,Not Verified,BPL,Not Verified
Poor,130,Unknown,Vehicle,On Time,Moderately Popular,Multiple Programs,4,Minimal Seasonal Variation,Indecisive,Home-Based,28,Regularly Open,No Formal Training,32648.22,Insurance Policy,Not Verified,Not Provided,Verified
Average,437,Good Credit History,Livestock,No Records,Highly Popular,None,7,Moderate Seasonal Variation,Good Problem-Solver,Remote Area,36,Regularly Open,Completed Skill Training,32577.83,Chit Fund Savings,Not Verified,Not Provided,Verified
Unknown,275,Good Credit History,Sewing Machine,No Records,Highly Popular,Enrolled in SHG,5,Weather Sensitive,High Risk-Taker,Remote Area,6,Irregular Operations,Multiple Certifications,44734.02,Chit Fund Savings,Verified,APL,Verified
Average,481,Has Defaults,Shop Equipment,Delayed Payments,Low Footfall,Enrolled in SHG,8,High Seasonal Variation,Cautious,Low Traffic Area,13,Irregular Operations,No Formal Training,17259.43,Insurance Policy,Not Verified,BPL,Not Verified
Poor,339,Has Defaults,Vehicle,On Time,Highly Popular,None,9,High Seasonal Variation,Good Problem-Solver,Moderate Traffic,11,Irregular Operations,No Formal Training,19736.79,Chit Fund Savings,Verified,Not Provided,Verified
Poor,120,Unknown,Livestock,No Records,Moderately Popular,None,3,High Seasonal Variation,Good Problem-Solver,Remote Area,48,Regularly Open,No Formal Training,44248.68,Chit Fund Savings,Not Verified,Not Provided,Verified
Excellent,414,Has Defaults,Vehicle,Partially Paid,Moderately Popular,Multiple Programs,4,Minimal Seasonal Variation,Good Problem-Solver,Low Traffic Area,7,Irregular Operations,No Formal Training,5460.66,Insurance Policy,Not Verified,BPL,Verified
Excellent,359,Has Defaults,Vehicle,On Time,New Business,Multiple Programs,5,High Seasonal Variation,Cautious,Low Traffic Area,3,Regularly Open,Multiple Certifications,44925.94,Both Savings and Insurance,Verified,Antyodaya,Not Verified
Poor,475,Unknown,None,Delayed Payments,New Business,Enrolled in SHG,2,Minimal Seasonal Variation,High Risk-Taker,Low Traffic Area,32,Irregular Operations,Completed Skill Training,47153.53,Chit Fund Savings,Not Verified,Antyodaya,Verified
Good,247,Good Credit History,Shop Equipment,Partially Paid,Low Footfall,None,10,Minimal Seasonal Variation,High Risk-Taker,Prime Location,32,Irregular Operations,No Formal Training,4577.7,Chit Fund Savings,Not Verified,BPL,Not Verified
Good,422,Good Credit History,Sewing Machine,Delayed Payments,Low Footfall,Enrolled in MUDRA,5,Minimal Seasonal Variation,Indecisive,Moderate Traffic,15,Irregular Operations,Multiple Certifications,33959.23,Both Savings and Insurance,Not Verified,Antyodaya,Verified
Average,430,Has Defaults,Multiple Assets,Delayed Payments,Highly Popular,Enrolled in SHG,4,High Seasonal Variation,High Risk-Taker,Low Traffic Area,2,Regularly Open,No Formal Training,20583.61,None,Verified,Antyodaya,Not Verified
Unknown,476,Good Credit History,Multiple Assets,On Time,Low Footfall,Multiple Programs,9,Minimal Seasonal Variation,Cautious,Remote Area,20,Regularly Open,No Formal Training,39313.35,Insurance Policy,Verified,BPL,Not Verified
Poor,318,Unknown,Sewing Machine,Partially Paid,New Business,Multiple Programs,10,Weather Sensitive,Good Problem-Solver,Home-Based,21,Regularly Open,Multiple Certifications,35780.24,None,Not Verified,Not Provided,Not Verified
Excellent,444,Has Defaults,Multiple Assets,Delayed Payments,Moderately Popular,Enrolled in SHG,8,Moderate Seasonal Variation,Good Problem-Solver,Prime Location,35,Irregular Operations,No Formal Training,22551.25,Chit Fund Savings,Verified,Antyodaya,Not Verified
Average,304,Has Defaults,Shop Equipment,On Time,Low Footfall,Enrolled in SHG,6,High Seasonal Variation,Good Problem-Solver,Low Traffic Area,6,Regularly Open,Ongoing Training,26415.58,None,Verified,APL,Not Verified
Excellent,40,Unknown,None,No Records,Average,None,6,Moderate Seasonal Variation,Indecisive,Prime Location,26,Irregular Operations,Ongoing Training,15306.82,Both Savings and Insurance,Not Verified,APL,Not Verified
Unknown,250,Unknown,Shop Equipment,Delayed Payments,New Business,Multiple Programs,10,Moderate Seasonal Variation,High Risk-Taker,Moderate Traffic,47,Regularly Open,Ongoing Training,13303.25,Chit Fund Savings,Not Verified,BPL,Verified
Poor,441,Has Defaults,Multiple Assets,Partially Paid,New Business,Enrolled in SHG,2,Minimal Seasonal Variation,Cautious,Moderate Traffic,48,Regularly Open,Multiple Certifications,9769.89,Both Savings and Insurance,Not Verified,APL,Not Verified
Excellent,83,Good Credit History,Livestock,No Records,Low Footfall,Enrolled in SHG,6,Weather Sensitive,Indecisive,Home-Based,45,Regularly Open,Multiple Certifications,44284.62,None,Verified,Antyodaya,Not Verified
Unknown,24,Good Credit History,Vehicle,No Records,Average,Multiple Programs,6,Moderate Seasonal Variation,High Risk-Taker,Prime Location,29,Irregular Operations,Ongoing Training,9269.48,Insurance Policy,Verified,Not Provided,Verified
Poor,263,Unknown,Shop Equipment,Delayed Payments,Moderately Popular,Enrolled in MUDRA,2,Weather Sensitive,Indecisive,Prime Location,2,Irregular Operations,Multiple Certifications,39999.26,Insurance Policy,Verified,Not Provided,Not Verified
Average,24,Unknown,Vehicle,On Time,Highly Popular,Enrolled in SHG,9,Minimal Seasonal Variation,Indecisive,Moderate Traffic,7,Irregular Operations,Completed Skill Training,46025.49,Insurance Policy,Not Verified,Not Provided,Not Verified
Unknown,500,Good Credit History,Multiple Assets,No Records,Low Footfall,Enrolled in SHG,10,Minimal Seasonal Variation,High Risk-Taker,Low Traffic Area,42,Irregular Operations,No Formal Training,8828.0,None,Not Verified,Not Provided,Verified
Average,203,Good Credit History,Vehicle,Delayed Payments,Low Footfall,Multiple Programs,4,Moderate Seasonal Variation,High Risk-Taker,Low Traffic Area,23,Regularly Open,Ongoing Training,10477.52,Both Savings and Insurance,Verified,BPL,Not Verified
Unknown,124,Unknown,Livestock,No Records,Highly Popular,None,1,High Seasonal Variation,High Risk-Taker,Prime Location,32,Regularly Open,Ongoing Training,46392.42,Insurance Policy,Verified,BPL,Not Verified
Good,99,Has Defaults,Shop Equipment,No Records,Low Footfall,Enrolled in SHG,2,High Seasonal Variation,High Risk-Taker,Prime Location,35,Regularly Open,No Formal Training,40454.02,None,Verified,APL,Not Verified
Poor,50,Good Credit History,Shop Equipment,Partially Paid,Moderately Popular,None,4,Minimal Seasonal Variation,Cautious,Prime Location,9,Regularly Open,Completed Skill Training,7889.26,Insurance Policy,Verified,BPL,Not Verified
Average,119,Good Credit History,Multiple Assets,Delayed Payments,Low Footfall,Enrolled in MUDRA,6,Minimal Seasonal Variation,High Risk-Taker,Moderate Traffic,7,Regularly Open,No Formal Training,44550.1,None,Not Verified,Not Provided,Verified
Unknown,197,Has Defaults,Multiple Assets,Partially Paid,Moderately Popular,Enrolled in MUDRA,5,Moderate Seasonal Variation,Cautious,Moderate Traffic,50,Regularly Open,Ongoing Training,23852.15,Insurance Policy,Not Verified,APL,Not Verified
Excellent,94,Good Credit History,None,On Time,Low Footfall,None,7,Minimal Seasonal Variation,High Risk-Taker,Moderate Traffic,33,Irregular Operations,Multiple Certifications,7724.7,Insurance Policy,Verified,APL,Not Verified
Excellent,471,Unknown,Shop Equipment,Partially Paid,Moderately Popular,Enrolled in MUDRA,7,Moderate Seasonal Variation,High Risk-Taker,Moderate Traffic,28,Irregular Operations,Ongoing Training,43294.21,None,Verified,BPL,Not Verified
Excellent,37,Good Credit History,Sewing Machine,On Time,Average,Enrolled in SHG,3,Weather Sensitive,Good Problem-Solver,Prime Location,29,Irregular Operations,Completed Skill Training,11524.63,Both Savings and Insurance,Not Verified,Antyodaya,Verified
Good,205,Has Defaults,Multiple Assets,No Records,Highly Popular,Multiple Programs,2,Minimal Seasonal Variation,High Risk-Taker,Remote Area,23,Irregular Operations,Multiple Certifications,22205.75,Chit Fund Savings,Not Verified,Not Provided,Verified
Average,176,Unknown,Multiple Assets,No Records,Moderately Popular,Enrolled in SHG,2,Minimal Seasonal Variation,Cautious,Low Traffic Area,20,Irregular Operations,Ongoing Training,27342.77,Insurance Policy,Verified,APL,Not Verified
Good,346,Unknown,Vehicle,Partially Paid,Highly Popular,Multiple Programs,8,Moderate Seasonal Variation,Good Problem-Solver,Remote Area,36,Regularly Open,Multiple Certifications,40507.43,Insurance Policy,Not Verified,BPL,Verified
Average,470,Unknown,Shop Equipment,Partially Paid,Average,Enrolled in MUDRA,1,Minimal Seasonal Variation,Indecisive,Home-Based,24,Irregular Operations,No Formal Training,7942.26,Both Savings and Insurance,Verified,APL,Verified
Unknown,223,Good Credit History,Vehicle,On Time,Moderately Popular,Enrolled in SHG,2,High Seasonal Variation,High Risk-Taker,Low Traffic Area,36,Irregular Operations,Ongoing Training,1540.72,None,Not Verified,Not Provided,Verified
Good,43,Good Credit History,Multiple Assets,Delayed Payments,Moderately Popular,Enrolled in MUDRA,1,Moderate Seasonal Variation,Cautious,Prime Location,15,Regularly Open,Ongoing Training,20756.55,Both Savings and Insurance,Verified,Not Provided,Not Verified
Good,380,Unknown,Livestock,On Time,Moderately Popular,Enrolled in MUDRA,9,Moderate Seasonal Variation,Good Problem-Solver,Prime Location,24,Regularly Open,Multiple Certifications,13976.81,Both Savings and Insurance,Verified,APL,Verified
Average,382,Has Defaults,Vehicle,Partially Paid,Moderately Popular,None,8,Weather Sensitive,Cautious,Remote Area,3,Irregular Operations,Completed Skill Training,32901.92,Insurance Policy,Not Verified,Not Provided,Verified
Good,204,Good Credit History,Vehicle,On Time,New Business,Multiple Programs,10,Minimal Seasonal Variation,Cautious,Home-Based,48,Irregular Operations,Completed Skill Training,16346.84,Both Savings and Insurance,Verified,APL,Verified
Poor,80,Has Defaults,Sewing Machine,Partially Paid,Low Footfall,Enrolled in SHG,6,Moderate Seasonal Variation,High Risk-Taker,Moderate Traffic,5,Regularly Open,Ongoing Training,8183.83,Chit Fund Savings,Verified,APL,Not Verified
Excellent,236,Unknown,None,Delayed Payments,Low Footfall,Enrolled in SHG,8,Minimal Seasonal Variation,Good Problem-Solver,Home-Based,27,Irregular Operations,Ongoing Training,7789.17,None,Verified,BPL,Verified
Unknown,127,Good Credit History,Vehicle,Partially Paid,Average,None,8,Minimal Seasonal Variation,Cautious,Prime Location,5,Regularly Open,No Formal Training,41993.65,Both Savings and Insurance,Not Verified,Antyodaya,Not Verified
Excellent,68,Unknown,Livestock,No Records,Moderately Popular,Enrolled in SHG,4,High Seasonal Variation,Indecisive,Remote Area,1,Regularly Open,Ongoing Training,39462.04,Insurance Policy,Verified,APL,Verified
Unknown,367,Good Credit History,Livestock,Delayed Payments,Moderately Popular,Enrolled in SHG,2,High Seasonal Variation,Cautious,Moderate Traffic,10,Irregular Operations,No Formal Training,46636.2,None,Verified,Antyodaya,Not Verified
Average,386,Unknown,Vehicle,No Records,Low Footfall,None,8,Moderate Seasonal Variation,Cautious,Moderate Traffic,8,Irregular Operations,Completed Skill Training,3355.71,Both Savings and Insurance,Not Verified,Not Provided,Verified
Average,500,Good Credit History,Multiple Assets,Partially Paid,Average,None,9,Weather Sensitive,Cautious,Moderate Traffic,34,Irregular Operations,Completed Skill Training,3984.72,Chit Fund Savings,Not Verified,Antyodaya,Not Verified
Average,322,Good Credit History,Livestock,Partially Paid,Highly Popular,Multiple Programs,9,Minimal Seasonal Variation,Good Problem-Solver,Moderate Traffic,21,Irregular Operations,Completed Skill Training,37905.72,Insurance Policy,Verified,Antyodaya,Verified
Good,92,Unknown,Multiple Assets,No Records,New Business,Multiple Programs,3,Minimal Seasonal Variation,High Risk-Taker,Moderate Traffic,25,Irregular Operations,Completed Skill Training,12511.44,Insurance Policy,Verified,Not Provided,Verified
Unknown,481,Unknown,Livestock,Delayed Payments,New Business,None,3,Minimal Seasonal Variation,High Risk-Taker,Prime Location,27,Irregular Operations,No Formal Training,43108.96,None,Verified,APL,Verified
