Entrepreneur ID,Community Reputation,Daily Customers,Weekly Revenue (₹),Informal Credit History,Assets Owned,Last Utility Payment Date,Local Market Standing,Welfare Program Participation,Dependents,Seasonality Impact,Risk-Taking Score,Business Location Quality,Regular Customers,Training Completed,Outstanding Debt (₹),Savings (₹),Aadhaar Linked,Ration Card Type,Voter ID Linked
29,Average,15,13711,Defaults,"Bicycle, None, Inventory",2024-01-08,Medium Footfall,True,0,Moderate,High,Moderate Traffic,36,None,6746,12101,True,Antyodaya,False
30,Poor,35,5664,Good,Small Shop,2024-01-02,Medium Footfall,True,6,High,Low,Prime Location,47,None,4855,10940,False,Antyodaya,False
31,Poor,6,6460,Defaults,Sewing Machine,2024-08-28,Popular,False,4,Low,High,Remote Location,13,None,426,975,False,BPL,False
32,Poor,32,11808,Good,Motorbike,2024-07-05,Popular,False,6,Moderate,Low,Prime Location,43,Skill India Certified,5585,18933,True,BPL,False
33,Average,28,15309,Defaults,"Small Shop, Bicycle, None",2024-03-25,Popular,False,5,Moderate,Medium,Moderate Traffic,3,Skill India Certified,2512,5182,False,Antyodaya,True
34,Good,13,3947,Defaults,Bicycle,2023-12-08,Low Footfall,False,1,Low,Low,Moderate Traffic,23,None,3077,2348,False,Antyodaya,False
35,Good,45,10945,Defaults,"Small Shop, Livestock",2024-10-10,Low Footfall,True,6,High,High,Moderate Traffic,40,Skill India Certified,9612,10721,False,Antyodaya,True
36,Average,30,16637,Good,"Livestock, Bicycle, Motorbike",2024-02-25,Low Footfall,True,4,Low,High,Remote Location,49,None,2176,8730,True,Antyodaya,False
37,Average,11,4284,Defaults,None,2024-07-29,Medium Footfall,False,3,Moderate,Medium,Prime Location,9,Skill India Certified,4633,3775,False,BPL,True
38,Poor,24,1345,Good,Livestock,2024-07-17,Popular,True,3,Low,High,Prime Location,9,Skill India Certified,5609,118,False,APL,True
39,Average,36,10170,Good,Bicycle,2023-12-18,Popular,True,3,High,Low,Prime Location,30,Skill India Certified,2946,13272,True,BPL,False
40,Good,14,5882,Defaults,"None, Tools, Motorbike",2024-04-29,Medium Footfall,True,6,Moderate,High,Remote Location,27,Skill India Certified,6292,7727,False,Antyodaya,False
41,Average,34,4339,Defaults,"Inventory, Sewing Machine",2023-12-21,Popular,False,4,High,Low,Remote Location,10,None,3166,12212,True,APL,True
42,Average,24,13782,Defaults,Bicycle,2023-11-24,Low Footfall,True,3,Low,Medium,Remote Location,42,Skill India Certified,1471,3014,False,APL,False
43,Average,29,12382,Good,Motorbike,2024-03-27,Popular,False,6,High,Medium,Remote Location,25,None,1910,5034,True,APL,True
44,Poor,41,4428,Defaults,"Inventory, Bicycle",2024-10-14,Medium Footfall,True,1,Moderate,Medium,Remote Location,19,Skill India Certified,588,8030,False,APL,True
45,Average,36,1378,Good,Sewing Machine,2024-06-10,Popular,True,1,High,Low,Moderate Traffic,17,Skill India Certified,740,12508,True,APL,True
46,Poor,11,16650,Defaults,Tools,2024-04-16,Medium Footfall,False,6,Moderate,Low,Prime Location,19,Skill India Certified,7562,873,True,APL,False
47,Poor,34,9854,Good,"Inventory, Sewing Machine, Tools",2024-05-16,Low Footfall,False,5,High,Low,Remote Location,2,Skill India Certified,922,8344,True,BPL,True
48,Good,25,2415,Good,Small Shop,2024-10-23,Medium Footfall,False,1,Moderate,High,Remote Location,28,Skill India Certified,7768,13383,False,APL,False
49,Average,40,12888,Defaults,Inventory,2024-08-10,Medium Footfall,False,6,Low,Low,Prime Location,20,None,6972,13880,True,APL,True
50,Good,33,7942,Defaults,"Bicycle, Tools, Motorbike",2023-12-16,Medium Footfall,True,1,Moderate,High,Remote Location,24,Skill India Certified,3214,1057,False,Antyodaya,True
51,Average,18,4950,Good,Bicycle,2024-06-17,Low Footfall,False,0,High,High,Moderate Traffic,27,Skill India Certified,8268,5711,False,BPL,True
52,Poor,11,16459,Defaults,"Bicycle, Small Shop, Sewing Machine",2023-12-25,Popular,False,6,High,Medium,Prime Location,47,Skill India Certified,1464,12658,False,BPL,True
53,Poor,24,7003,Defaults,Inventory,2024-04-22,Popular,True,6,Moderate,Low,Prime Location,15,None,444,15288,True,Antyodaya,False
54,Good,13,1002,Good,"Inventory, Sewing Machine",2024-09-19,Popular,True,3,High,Low,Prime Location,21,Skill India Certified,9696,1114,True,APL,True
55,Good,26,11456,Defaults,"Small Shop, Tools",2024-05-01,Medium Footfall,True,0,High,Low,Remote Location,23,Skill India Certified,7648,4677,True,Antyodaya,False
56,Average,32,13986,Defaults,"Tools, Small Shop, None",2024-05-08,Low Footfall,False,5,Low,Low,Moderate Traffic,50,Skill India Certified,4461,15990,True,APL,True
57,Average,7,1954,Good,"Motorbike, Small Shop, None",2024-07-19,Medium Footfall,True,6,High,High,Prime Location,47,None,6249,11232,True,APL,False
58,Poor,49,18081,Defaults,"None, Bicycle, Livestock",2024-03-27,Medium Footfall,True,2,High,Medium,Moderate Traffic,9,None,9387,17620,False,APL,True
59,Average,50,18406,Good,Tools,2024-01-22,Medium Footfall,True,5,High,Medium,Prime Location,2,Skill India Certified,6095,19051,False,BPL,True
60,Average,43,3222,Good,"None, Bicycle",2024-01-26,Low Footfall,True,2,High,Medium,Prime Location,3,Skill India Certified,4906,10761,True,APL,True
61,Poor,46,15895,Defaults,"Sewing Machine, Livestock",2024-10-31,Popular,False,3,Low,High,Moderate Traffic,33,None,7216,8534,True,APL,True
62,Good,18,1873,Defaults,"Inventory, Sewing Machine",2024-02-20,Popular,True,0,Moderate,Medium,Remote Location,5,None,6661,4485,True,BPL,False
63,Good,42,17740,Good,"Inventory, Bicycle, Small Shop",2024-06-11,Medium Footfall,True,3,Moderate,High,Moderate Traffic,25,None,1164,12680,True,BPL,True
64,Poor,49,8040,Defaults,"Sewing Machine, Tools",2023-12-23,Popular,True,4,High,Medium,Remote Location,17,Skill India Certified,929,3794,True,Antyodaya,True
65,Poor,10,16073,Good,"Livestock, Tools, Inventory",2024-03-31,Low Footfall,True,1,Low,Low,Prime Location,39,Skill India Certified,2423,16962,True,APL,False
66,Good,28,4365,Good,Motorbike,2024-06-08,Medium Footfall,True,2,Moderate,High,Remote Location,49,None,7556,11209,True,BPL,False
67,Good,50,16400,Good,Small Shop,2024-02-22,Popular,True,5,Low,High,Prime Location,45,Skill India Certified,2462,8226,False,BPL,False
68,Poor,45,2129,Defaults,"None, Inventory",2024-06-16,Popular,False,0,Moderate,High,Remote Location,20,Skill India Certified,2599,17297,True,BPL,True
69,Average,10,1241,Good,"Small Shop, Tools, Livestock",2024-01-24,Low Footfall,False,4,High,High,Prime Location,33,None,4080,5182,False,BPL,True
70,Average,41,17134,Good,"Sewing Machine, Tools, Bicycle",2024-03-14,Low Footfall,True,4,Low,Low,Prime Location,5,Skill India Certified,1546,4763,False,Antyodaya,False
71,Average,27,15338,Defaults,"None, Tools, Sewing Machine",2024-09-23,Low Footfall,False,5,High,Medium,Moderate Traffic,39,None,9561,19286,False,Antyodaya,True
72,Good,40,17816,Defaults,Tools,2024-04-29,Low Footfall,False,2,Moderate,High,Prime Location,44,Skill India Certified,2038,11301,False,BPL,True
73,Average,32,19199,Defaults,"Sewing Machine, Livestock, None",2024-05-15,Popular,False,4,Moderate,Low,Remote Location,36,Skill India Certified,7484,8072,True,APL,False
74,Poor,29,11690,Good,Sewing Machine,2024-02-27,Popular,False,4,Moderate,Low,Moderate Traffic,25,None,201,5315,False,APL,True
75,Good,41,18943,Good,Sewing Machine,2023-12-08,Medium Footfall,False,0,High,Medium,Moderate Traffic,41,None,2704,7163,True,BPL,True
76,Good,23,11918,Defaults,"Inventory, Bicycle",2024-05-15,Low Footfall,True,5,High,High,Moderate Traffic,23,Skill India Certified,6954,5445,True,APL,True
77,Average,45,9677,Defaults,"Small Shop, Inventory, Sewing Machine",2024-05-13,Popular,False,1,Low,High,Remote Location,9,Skill India Certified,2601,6577,True,APL,True
78,Poor,23,16187,Good,Bicycle,2024-01-24,Popular,False,2,Low,Low,Moderate Traffic,18,None,3741,9596,False,APL,True
79,Average,40,17409,Defaults,"Sewing Machine, Livestock, Small Shop",2024-05-29,Popular,True,6,Low,Low,Remote Location,46,None,6512,19844,False,APL,False
80,Good,35,11532,Defaults,"Small Shop, Livestock, Inventory",2024-08-30,Low Footfall,True,3,Low,Low,Remote Location,6,None,8605,13743,False,Antyodaya,False
81,Poor,31,10403,Good,"Sewing Machine, Motorbike, Bicycle",2024-06-24,Low Footfall,False,2,High,Medium,Moderate Traffic,8,Skill India Certified,9700,11731,True,Antyodaya,False
82,Average,41,17552,Good,Bicycle,2023-12-25,Popular,True,6,High,Medium,Remote Location,7,Skill India Certified,9199,3266,False,Antyodaya,True
83,Average,21,19138,Good,"Motorbike, Bicycle",2024-10-13,Popular,False,6,Moderate,Low,Moderate Traffic,32,Skill India Certified,4012,17272,True,BPL,False
84,Average,35,12182,Good,"Sewing Machine, Tools, Livestock",2024-01-29,Popular,True,2,Low,High,Remote Location,37,Skill India Certified,3071,12022,True,BPL,True
85,Poor,36,13054,Defaults,None,2024-04-28,Low Footfall,False,1,Moderate,High,Moderate Traffic,25,None,4046,17933,False,BPL,True
86,Average,9,12633,Defaults,Sewing Machine,2024-05-01,Low Footfall,False,1,Moderate,High,Prime Location,44,Skill India Certified,2461,4740,True,Antyodaya,False
87,Average,38,15444,Good,"None, Bicycle, Small Shop",2024-03-02,Low Footfall,True,0,High,Medium,Moderate Traffic,11,None,263,19674,True,APL,True
88,Average,14,5948,Good,"Motorbike, Small Shop, Tools",2024-11-01,Low Footfall,False,1,Moderate,Low,Moderate Traffic,25,None,8448,15001,True,APL,True
89,Good,47,9237,Good,"Livestock, Bicycle",2024-04-18,Medium Footfall,False,1,Low,High,Remote Location,32,Skill India Certified,9077,4373,False,APL,True
90,Good,16,3552,Defaults,Livestock,2024-01-27,Popular,True,5,Moderate,Low,Moderate Traffic,44,None,5350,11398,False,APL,False
91,Average,9,14335,Good,Bicycle,2024-06-04,Low Footfall,True,5,Moderate,High,Moderate Traffic,45,Skill India Certified,1217,16695,True,BPL,False
92,Average,9,10612,Good,"Livestock, Bicycle",2024-05-29,Popular,False,0,Low,High,Remote Location,49,Skill India Certified,878,2548,False,APL,True
93,Good,29,18024,Good,"Sewing Machine, Motorbike, Inventory",2023-11-26,Low Footfall,False,6,Low,High,Moderate Traffic,45,None,7507,16308,True,APL,True
94,Good,12,13988,Defaults,"Bicycle, Small Shop, Inventory",2024-03-30,Low Footfall,False,3,Low,High,Moderate Traffic,14,None,7001,12358,False,APL,True
95,Average,25,17428,Good,None,2024-07-25,Low Footfall,False,4,High,High,Prime Location,16,Skill India Certified,3451,3479,False,BPL,False
96,Poor,8,2567,Good,"Livestock, Bicycle, None",2024-03-02,Popular,True,4,High,Medium,Moderate Traffic,2,None,7660,4274,False,BPL,False
97,Poor,6,10504,Defaults,"Livestock, Bicycle, Sewing Machine",2024-01-21,Low Footfall,False,5,High,Low,Prime Location,22,Skill India Certified,3915,717,False,BPL,True
98,Average,40,12753,Defaults,"Small Shop, Inventory, Tools",2023-12-16,Medium Footfall,True,3,Low,Low,Prime Location,5,None,172,10572,True,BPL,True
99,Poor,14,2721,Good,"Sewing Machine, Inventory",2024-07-24,Medium Footfall,False,0,High,High,Remote Location,14,None,107,3858,True,BPL,False
100,Poor,7,10492,Defaults,Tools,2024-07-19,Low Footfall,True,1,High,Medium,Remote Location,46,None,836,10844,False,BPL,False
